ISBN,Title,Sub-Title,Author,LC Call Number
9.78144E+12,Dear Mrs. Fitzsimmons,tales of redemption from an Irish mailbox,Greg Fitzsimmons,PN2287.F525 A3 2010
9.7814E+12,Stealing Myspace,the battle to control the most popular website in America,Julia Angwin,HD9696.8.U64 M973 2009
9.7816E+12,The New Frugality,"how to consume less, save more, and live better",Chris Farrell,HG179 .F363 2010
9.78159E+12,Crisis Economics,a crash course in the future of finance,Nouriel Roubini and Stephen Mihm,HB3722 .R68 2010
9.78098E+12,,,,none
9.78144E+12,The Big Thirst,the secret life and turbulent future of water,Charles Fishman,HD1691 .F55 2011
9.7808E+12,Driving Like Crazy,"thirty years of vehicular Hellbending, celebrating America the way it's supposed to be-- with an oil well in every backyard, a Cadillac Escalade in every carport, and the Chairman of the Federal Reserve Bank mowing our lawn",P.J. O'Rourke,TL152.52 .O768 2009
9.78142E+12,Little Bee,,Chris Cleave,PR6103.L43 L58 2009
9.78159E+12,Unnatural Selection,"Choosing Boys over Girls, and the Consequences of a World Full of Men",Mara Hvistendahl,HB1064.A3 H87 2011
9.78074E+12,Committed,a rabble-rouser's memoir,Dan Mathews,HV4716 .M38 2007
2.80074E+12,2.80074E+12,,,none
9.78035E+12,Forewarned,"why the government is failing to protect us, and what we must do to protect ourselves","Michael Cherkasky, with Alex Prud'homme",HV6432 .C45 2003
9.78189E+12,When Are You Coming Home?,a personal guide to soul transcendence,John-Roger with Pauli Sanderson,BL73.J642 A3 2004eb
9.7816E+12,Anonyponymous,the forgotten people behind everyday words,John Bemelmans Marciano,PE 1596 .M37 2009
9.78074E+12,The Manhattan Beach Project,a novel,Peter Lefcourt,PS3562.E3737 M36 2005
9.89082E+12,9.89082E+12,,,none
9.78079E+12,"Quiet, Please",dispatches from a public librarian,by Scott Douglas,Z720.D68 A3 2008
9.78098E+12,Party Of One,Arnold Schwarzenegger and the rise of the independent voter,Daniel Weintraub ; foreword by Michael Barone,F866.4.S38 W45 2007
9.78274E+12,9.78274E+12,,,none
9.78158E+12,Millionaire,,"Al Winnikoff, Wayne Wagner",HG4530 .W555 2001
9.7816E+12,American Conspiracies,"lies, lies, and more dirty lies that the government tells us","by Jesse Ventura, with Dick Russell",HV6285 .V46 2010
9.78039E+12,Red Giants And White Dwarfs,,Robert Jastrow,QB44.2 .J36 1990
9.78158E+12,The Hippie Dictionary,a cultural encyclopedia (and phraseicon) of the 1960s and 1970s,written and compiled by John Bassett McCleary ; edited by Joan Jeffers McCleary,HQ799.7 .M28 2002
9.78142E+12,Driven West,Andrew Jackson and the Trail of Tears to the Civil War,A.J. Langguth,E338 .L36 2010
9.78039E+12,Oil On The Brain,adventures from the pump to the pipeline,Lisa Margonelli,HD9560.5 .M3185 2007
9.78141E+12,American Idol After Iraq,competing for hearts and minds in the global media age,Nathan Gardels and Mike Medavoy,PN1993.5.U6 G32 2009eb
9.78157E+12,Working In The Shadows,a year of doing the jobs (most) Americans won't do,Gabriel Thompson,HD6300 .T48 2010
9.78031E+12,The Great Typo Hunt,"two friends changing the world, one corrrection at a time",Jeff Deck and Benjamin D. Herson,E169.Z83 D43 2010
9.78098E+12,9.78098E+12,,,none
9.78031E+12,"I Remember Nothing, And Other Reflections",,Nora Ephron,PS3555.P5 I25 2010
9.78142E+12,"I Love You, I Hate You, I'm Hungry",a collection of cartoons,Bruce Eric Kaplan,PN6727.K274 I33 2010
9.78156E+12,The Ethics Gap,"the erosion of ethics in our professions, business, and government : greed and the casino society",by Joseph W. Cotchett with Stephen P. Pizzo ; foreword by Ralph Nader,HN90.M6 C668 1991
9.78142E+12,The Greatest Show On Earth,the evidence for evolution,Richard Dawkins,QH366.2 .D374 2010
9.78039E+12,The Language Of Things,understanding the world of desirable objects,Deyan Sudjic,NK1505 .S83 2009
9.7816E+12,Love Junkie,a memoir,Rachel Resnick,PS3568.E72 Z47 2008
